Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.bmr.mean,sd.bmr,log10.bmr.lower.95hpd,log10.bmr.upper.95hpd,log10.fmr.mean,sd.fmr,log10.fmr.lower.95hpd,log10.fmr.upper.95hpd,bmr.geo.mean,bmr.lower.95hpd,bmr.upper.95hpd,fmr.geo.mean,fmr.lower.95hpd,fmr.upper.95hpd
Pteropus_caniceps,Chiroptera,Pteropodidae,2.7032913781186614,2.1534382666666665,0.057252019879264,2.0356,2.2606,2.6247423333333333,0.057888006659358095,2.5109,2.7377,142.37648494229757,108.54254493068264,182.2216605668786,421.44638534010465,324.2649439899697,546.6382281334191
Pteropus_capistratus,Chiroptera,Pteropodidae,2.3483048630481607,1.892796,0.056195928542866265,1.7804,1.9941,2.3804172333333335,0.05715732428644134,2.2753,2.495,78.12607388411433,60.311481961781745,98.6506611023098,240.11386217802763,188.49507176986666,312.6079367123956
Pteropus_chrysoproctus,Chiroptera,Pteropodidae,2.8512583487190755,2.263423,0.05893690069688586,2.1523,2.3862,2.7279233666666665,0.05959480422734732,2.6088,2.8419,183.40999541051707,142.00381105421533,243.332433835825,534.4700412870558,406.2561981868435,694.8643007488282
Pteropus_cognatus,Chiroptera,Pteropodidae,2.4807253789884878,1.9909262333333333,0.05885529540387946,1.8626,2.0976,2.4724615,0.05956360881932743,2.3542,2.5909,97.93236292187792,72.87859643647188,125.19875206248813,296.7983621459138,226.04765184683427,389.8522095523481
Pteropus_conspicillatus,Chiroptera,Pteropodidae,2.889693791444185,2.2909793,0.058055939451060315,2.1739,2.4022,2.753713,0.058661766582839454,2.6421,2.8722,195.42463073143253,149.24507205337386,252.46431459482488,567.1696720403529,438.6316848258552,745.0750146362518
Pteropus_coxi,Chiroptera,Pteropodidae,2.7377490738915573,2.1797410333333334,0.058140949335175295,2.0679,2.2945,2.6494601,0.05879988996880392,2.5433,2.7736,151.26589918135116,116.92301348339214,197.015320721676,446.1286354571856,349.38157638329216,593.7450473021954
Pteropus_dasymallus,Chiroptera,Pteropodidae,2.6384892569546374,2.1034592,0.049404123827642754,2.0089,2.1995,2.5777419666666668,0.05020603135076057,2.4797,2.6764,126.89929227062802,102.07044307665852,158.30695667064396,378.21780222015315,301.7866332008685,474.6789794829222
Pteropus_faunulus,Chiroptera,Pteropodidae,2.459392487759231,1.9763306333333333,0.05787751354187697,1.8609,2.0858,2.4588453333333335,0.058590833926155,2.3436,2.5709,94.69578167760302,72.5938784607024,121.84283627083997,287.6373860192384,220.59720217473264,372.3059697665676
Pteropus_fundatus,Chiroptera,Pteropodidae,2.313234291694724,1.8671906666666667,0.058657668327111445,1.7495,1.9819,2.3564242666666666,0.05940918263581852,2.234,2.4691,73.65303826772679,56.16942783556396,95.91797467879694,227.2083389267428,171.39573075084252,294.50996899960177
Pteropus_giganteus,Chiroptera,Pteropodidae,2.9053640687668922,2.3009667333333335,0.04763226718959984,2.2081,2.3932,2.7629802,0.048347028309319216,2.6702,2.8592,199.97086874188201,161.47303194203636,247.28626781870224,579.4022801882581,467.9505908852532,723.1027280500616
Pteropus_gilliardorum,Chiroptera,Pteropodidae,2.6020599913279625,2.0818107,0.06162334423221003,1.9631,2.2062,2.5577673666666665,0.062311426798799294,2.4409,2.6865,120.7287488707724,91.85440747246862,160.76814472307137,361.21632237930567,275.9942282854264,485.8475309374926
Pteropus_griseus,Chiroptera,Pteropodidae,2.429752280002408,1.9530390333333334,0.05951004577588817,1.8351,2.0674,2.4369163666666664,0.0601395396019962,2.3177,2.5521,89.7509456846173,68.40691418893657,116.7884783489638,273.4742038481655,207.82605795978589,356.53321878292815
Pteropus_howensis,Chiroptera,Pteropodidae,2.367169488534681,1.906214,0.05814206828136301,1.7894,2.0168,2.3929689666666665,0.05880805026403704,2.2771,2.5076,80.57753918024626,61.57437325570652,103.94413751488007,247.154752960428,189.27793970346022,321.8103443093442
Pteropus_hypomelanus,Chiroptera,Pteropodidae,2.631545227834309,2.099450666666667,0.05479325536201158,1.9872,2.1994,2.5740523,0.055431369761425486,2.4657,2.6814,125.73340204056917,97.09570065288246,158.27050934310384,375.01816116349113,292.213314244037,480.1755030139799
